연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.11135742
4,01-03 01:00,공주,0.123446815
4,01-03 02:00,공주,0.12341028
4,01-03 03:00,공주,0.13745889
4,01-03 04:00,공주,0.13875997
4,01-03 05:00,공주,0.13265458
4,01-03 06:00,공주,0.13736741
4,01-03 07:00,공주,0.14887342
4,01-03 08:00,공주,0.14943388
4,01-03 09:00,공주,0.1448795
4,01-03 10:00,공주,0.14081267
4,01-03 11:00,공주,0.13162006
4,01-03 12:00,공주,0.13821332
4,01-03 13:00,공주,0.13343392
4,01-03 14:00,공주,0.12857929
4,01-03 15:00,공주,0.12290926
4,01-03 16:00,공주,0.122371
4,01-03 17:00,공주,0.1338013
4,01-03 18:00,공주,0.12699534
4,01-03 19:00,공주,0.12435558
4,01-03 20:00,공주,0.1322746
4,01-03 21:00,공주,0.13192633
4,01-03 22:00,공주,0.12626782
4,01-03 23:00,공주,0.12466064
4,01-04 00:00,공주,0.14371887
4,01-04 01:00,공주,0.14048998
4,01-04 02:00,공주,0.16021131
4,01-04 03:00,공주,0.14374317
4,01-04 04:00,공주,0.15585558
4,01-04 05:00,공주,0.15778124
4,01-04 06:00,공주,0.16582407
4,01-04 07:00,공주,0.16109276
4,01-04 08:00,공주,0.15615469
4,01-04 09:00,공주,0.16145769
4,01-04 10:00,공주,0.1427698
4,01-04 11:00,공주,0.15327606
4,01-04 12:00,공주,0.14625351
4,01-04 13:00,공주,0.14250517
4,01-04 14:00,공주,0.13504517
4,01-04 15:00,공주,0.14561066
4,01-04 16:00,공주,0.14825621
4,01-04 17:00,공주,0.13852863
4,01-04 18:00,공주,0.1378951
4,01-04 19:00,공주,0.14821523
4,01-04 20:00,공주,0.14107156
4,01-04 21:00,공주,0.15175891
4,01-04 22:00,공주,0.15109903
4,01-04 23:00,공주,0.15588617
4,01-05 00:00,공주,0.1510567
4,01-05 01:00,공주,0.1589872
4,01-05 02:00,공주,0.16971503
4,01-05 03:00,공주,0.1715397
4,01-05 04:00,공주,0.16353486
4,01-05 05:00,공주,0.15966746
4,01-05 06:00,공주,0.16159414
4,01-05 07:00,공주,0.1602416
4,01-05 08:00,공주,0.16772762
4,01-05 09:00,공주,0.14953402
4,01-05 10:00,공주,0.16116023
4,01-05 11:00,공주,0.13806249
4,01-05 12:00,공주,0.14904599
4,01-05 13:00,공주,0.13309097
4,01-05 14:00,공주,0.14781173
4,01-05 15:00,공주,0.1430864
4,01-05 16:00,공주,0.13802597
4,01-05 17:00,공주,0.14079297
4,01-05 18:00,공주,0.13346988
4,01-05 19:00,공주,0.15770023
4,01-05 20:00,공주,0.13933268
4,01-05 21:00,공주,0.14899501
4,01-05 22:00,공주,0.15211779
4,01-05 23:00,공주,0.14861576
4,01-08 00:00,공주,0.18146667
4,01-08 01:00,공주,0.18103865
4,01-08 02:00,공주,0.18701026
4,01-08 03:00,공주,0.20103341
4,01-08 04:00,공주,0.19866498
4,01-08 05:00,공주,0.18790893
4,01-08 06:00,공주,0.19261894
4,01-08 07:00,공주,0.2083508
4,01-08 08:00,공주,0.20238936
4,01-08 09:00,공주,0.19686891
4,01-08 10:00,공주,0.19451305
4,01-08 11:00,공주,0.18499792
4,01-08 12:00,공주,0.18539807
4,01-08 13:00,공주,0.17727917
4,01-08 14:00,공주,0.17477743
4,01-08 15:00,공주,0.16165465
4,01-08 16:00,공주,0.162369
4,01-08 17:00,공주,0.17215355
4,01-08 18:00,공주,0.1624581
4,01-08 19:00,공주,0.16540796
4,01-08 20:00,공주,0.1638344
4,01-08 21:00,공주,0.1691437
4,01-08 22:00,공주,0.15387079
4,01-08 23:00,공주,0.15525708
4,01-09 00:00,공주,0.16745967
4,01-09 01:00,공주,0.17271462
4,01-09 02:00,공주,0.18174122
