연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.11001176
4,01-03 01:00,공주,0.106081136
4,01-03 02:00,공주,0.119389385
4,01-03 03:00,공주,0.12051089
4,01-03 04:00,공주,0.1357052
4,01-03 05:00,공주,0.1366083
4,01-03 06:00,공주,0.14112826
4,01-03 07:00,공주,0.14618343
4,01-03 08:00,공주,0.14143546
4,01-03 09:00,공주,0.13919507
4,01-03 10:00,공주,0.13738947
4,01-03 11:00,공주,0.12848508
4,01-03 12:00,공주,0.12032772
4,01-03 13:00,공주,0.11439407
4,01-03 14:00,공주,0.10810227
4,01-03 15:00,공주,0.10300172
4,01-03 16:00,공주,0.09485209
4,01-03 17:00,공주,0.09851186
4,01-03 18:00,공주,0.09726228
4,01-03 19:00,공주,0.10903594
4,01-03 20:00,공주,0.11442604
4,01-03 21:00,공주,0.1212435
4,01-03 22:00,공주,0.12438851
4,01-03 23:00,공주,0.12970412
4,01-04 00:00,공주,0.1397505
4,01-04 01:00,공주,0.1353259
4,01-04 02:00,공주,0.14457874
4,01-04 03:00,공주,0.14721581
4,01-04 04:00,공주,0.14960673
4,01-04 05:00,공주,0.15584199
4,01-04 06:00,공주,0.15954706
4,01-04 07:00,공주,0.15156972
4,01-04 08:00,공주,0.1542757
4,01-04 09:00,공주,0.15366203
4,01-04 10:00,공주,0.14649904
4,01-04 11:00,공주,0.14066488
4,01-04 12:00,공주,0.12827384
4,01-04 13:00,공주,0.12253528
4,01-04 14:00,공주,0.12216917
4,01-04 15:00,공주,0.11785744
4,01-04 16:00,공주,0.114620596
4,01-04 17:00,공주,0.11112963
4,01-04 18:00,공주,0.11431129
4,01-04 19:00,공주,0.11862936
4,01-04 20:00,공주,0.12168033
4,01-04 21:00,공주,0.13347962
4,01-04 22:00,공주,0.13109517
4,01-04 23:00,공주,0.13172325
4,01-05 00:00,공주,0.13812697
4,01-05 01:00,공주,0.14386669
4,01-05 02:00,공주,0.1530827
4,01-05 03:00,공주,0.1553698
4,01-05 04:00,공주,0.15850635
4,01-05 05:00,공주,0.15927342
4,01-05 06:00,공주,0.16750096
4,01-05 07:00,공주,0.16467206
4,01-05 08:00,공주,0.15960804
4,01-05 09:00,공주,0.15877815
4,01-05 10:00,공주,0.14956579
4,01-05 11:00,공주,0.14140211
4,01-05 12:00,공주,0.14136547
4,01-05 13:00,공주,0.13482948
4,01-05 14:00,공주,0.12509821
4,01-05 15:00,공주,0.11942077
4,01-05 16:00,공주,0.12280915
4,01-05 17:00,공주,0.12356371
4,01-05 18:00,공주,0.12034128
4,01-05 19:00,공주,0.12803194
4,01-05 20:00,공주,0.13465221
4,01-05 21:00,공주,0.13373514
4,01-05 22:00,공주,0.1395874
4,01-05 23:00,공주,0.1417546
4,01-08 00:00,공주,0.19302812
4,01-08 01:00,공주,0.19366801
4,01-08 02:00,공주,0.20470546
4,01-08 03:00,공주,0.20498061
4,01-08 04:00,공주,0.223469
