연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.13084993
4,01-03 01:00,공주,0.13170677
4,01-03 02:00,공주,0.1287479
4,01-03 03:00,공주,0.13048247
4,01-03 04:00,공주,0.13617907
4,01-03 05:00,공주,0.14038277
4,01-03 06:00,공주,0.15335774
4,01-03 07:00,공주,0.1610778
4,01-03 08:00,공주,0.16794796
4,01-03 09:00,공주,0.16601527
4,01-03 10:00,공주,0.15915601
4,01-03 11:00,공주,0.14816369
4,01-03 12:00,공주,0.13619295
4,01-03 13:00,공주,0.12400636
4,01-03 14:00,공주,0.12515198
4,01-03 15:00,공주,0.11489552
4,01-03 16:00,공주,0.12013276
4,01-03 17:00,공주,0.122458346
4,01-03 18:00,공주,0.12654518
4,01-03 19:00,공주,0.12723649
4,01-03 20:00,공주,0.13171513
4,01-03 21:00,공주,0.14005488
4,01-03 22:00,공주,0.13923031
4,01-03 23:00,공주,0.14168929
4,01-04 00:00,공주,0.14278963
4,01-04 01:00,공주,0.14862812
4,01-04 02:00,공주,0.14829591
4,01-04 03:00,공주,0.15150428
4,01-04 04:00,공주,0.14439678
4,01-04 05:00,공주,0.15701984
4,01-04 06:00,공주,0.16332789
4,01-04 07:00,공주,0.16793822
4,01-04 08:00,공주,0.17043783
4,01-04 09:00,공주,0.16805777
4,01-04 10:00,공주,0.16470897
4,01-04 11:00,공주,0.15248951
4,01-04 12:00,공주,0.14624102
4,01-04 13:00,공주,0.13628536
4,01-04 14:00,공주,0.13286644
4,01-04 15:00,공주,0.12972052
4,01-04 16:00,공주,0.12644067
4,01-04 17:00,공주,0.12573513
4,01-04 18:00,공주,0.12879854
4,01-04 19:00,공주,0.13245614
4,01-04 20:00,공주,0.13636637
4,01-04 21:00,공주,0.1407698
4,01-04 22:00,공주,0.14536011
4,01-04 23:00,공주,0.14706914
4,01-05 00:00,공주,0.14831252
4,01-05 01:00,공주,0.1469439
4,01-05 02:00,공주,0.1454815
4,01-05 03:00,공주,0.14989167
4,01-05 04:00,공주,0.15534562
4,01-05 05:00,공주,0.15950185
4,01-05 06:00,공주,0.16909586
4,01-05 07:00,공주,0.16987626
4,01-05 08:00,공주,0.1735003
4,01-05 09:00,공주,0.17111823
4,01-05 10:00,공주,0.16374528
4,01-05 11:00,공주,0.15549669
4,01-05 12:00,공주,0.14814073
4,01-05 13:00,공주,0.13441962
4,01-05 14:00,공주,0.13034688
4,01-05 15:00,공주,0.12445157
4,01-05 16:00,공주,0.11980517
4,01-05 17:00,공주,0.119386494
4,01-05 18:00,공주,0.12263396
4,01-05 19:00,공주,0.12853438
4,01-05 20:00,공주,0.1322297
4,01-05 21:00,공주,0.13214588
4,01-05 22:00,공주,0.1400018
4,01-05 23:00,공주,0.13871026
4,01-08 00:00,공주,0.19682926
4,01-08 01:00,공주,0.20024636
4,01-08 02:00,공주,0.1977639
4,01-08 03:00,공주,0.20455384
4,01-08 04:00,공주,0.20780854
4,01-08 05:00,공주,0.21194777
4,01-08 06:00,공주,0.21958874
4,01-08 07:00,공주,0.22668165
4,01-08 08:00,공주,0.2365056
4,01-08 09:00,공주,0.23317522
4,01-08 10:00,공주,0.2287057
4,01-08 11:00,공주,0.22059612
4,01-08 12:00,공주,0.21243796
4,01-08 13:00,공주,0.19860986
4,01-08 14:00,공주,0.19886294
4,01-08 15:00,공주,0.18510042
4,01-08 16:00,공주,0.18529204
4,01-08 17:00,공주,0.18885174
4,01-08 18:00,공주,0.1886059
4,01-08 19:00,공주,0.18948874
4,01-08 20:00,공주,0.19025546
4,01-08 21:00,공주,0.18886676
4,01-08 22:00,공주,0.1831626
4,01-08 23:00,공주,0.18074767
4,01-09 00:00,공주,0.17941678
4,01-09 01:00,공주,0.18171889
4,01-09 02:00,공주,0.18053767
4,01-09 03:00,공주,0.18365234
4,01-09 04:00,공주,0.17879447
4,01-09 05:00,공주,0.18726516
4,01-09 06:00,공주,0.19350684
4,01-09 07:00,공주,0.19094998
4,01-09 08:00,공주,0.19662437
4,01-09 09:00,공주,0.19612172
4,01-09 10:00,공주,0.19140387
4,01-09 11:00,공주,0.18612513
4,01-09 12:00,공주,0.18100375
4,01-09 13:00,공주,0.17132324
4,01-09 14:00,공주,0.17025179
4,01-09 15:00,공주,0.16590601
4,01-09 16:00,공주,0.1648137
4,01-09 17:00,공주,0.16397044
4,01-09 18:00,공주,0.16182333
4,01-09 19:00,공주,0.16167003
4,01-09 20:00,공주,0.16559288
4,01-09 21:00,공주,0.17053631
4,01-09 22:00,공주,0.1671702
4,01-09 23:00,공주,0.16632703
4,01-10 00:00,공주,0.16157958
4,01-10 01:00,공주,0.15956375
4,01-10 02:00,공주,0.16123703
4,01-10 03:00,공주,0.16251454
4,01-10 04:00,공주,0.16666223
4,01-10 05:00,공주,0.16999653
4,01-10 06:00,공주,0.17744283
4,01-10 07:00,공주,0.17431384
4,01-10 08:00,공주,0.17477085
4,01-10 09:00,공주,0.17640159
4,01-10 10:00,공주,0.16917065
4,01-10 11:00,공주,0.16803157
4,01-10 12:00,공주,0.15976009
4,01-10 13:00,공주,0.14900371
4,01-10 14:00,공주,0.14725284
4,01-10 15:00,공주,0.14258984
4,01-10 16:00,공주,0.14068219
4,01-10 17:00,공주,0.14212507
4,01-10 18:00,공주,0.14541438
4,01-10 19:00,공주,0.14804113
4,01-10 20:00,공주,0.15052922
4,01-10 21:00,공주,0.14690144
4,01-10 22:00,공주,0.15314108
4,01-10 23:00,공주,0.14998011
4,01-13 00:00,공주,0.58201784
4,01-13 01:00,공주,0.580333
4,01-13 02:00,공주,0.55217373
4,01-13 03:00,공주,0.5311948
4,01-13 04:00,공주,0.5131474
4,01-13 05:00,공주,0.49862042
4,01-13 06:00,공주,0.49898687
4,01-13 07:00,공주,0.48956496
4,01-13 08:00,공주,0.49703616
4,01-13 09:00,공주,0.4942231
4,01-13 10:00,공주,0.47101915
4,01-13 11:00,공주,0.43934354
4,01-13 12:00,공주,0.41050142
4,01-13 13:00,공주,0.36104637
4,01-13 14:00,공주,0.33888742
4,01-13 15:00,공주,0.28937647
4,01-13 16:00,공주,0.27752542
4,01-13 17:00,공주,0.27349058
4,01-13 18:00,공주,0.27985215
4,01-13 19:00,공주,0.30475292
4,01-13 20:00,공주,0.3220027
4,01-13 21:00,공주,0.35219547
4,01-13 22:00,공주,0.3633808
4,01-13 23:00,공주,0.35401714
4,01-14 00:00,공주,0.3459609
4,01-14 01:00,공주,0.34579074
4,01-14 02:00,공주,0.32812858
4,01-14 03:00,공주,0.30922654
4,01-14 04:00,공주,0.2726138
4,01-14 05:00,공주,0.28871474
4,01-14 06:00,공주,0.2896275
4,01-14 07:00,공주,0.28852952
4,01-14 08:00,공주,0.2983113
4,01-14 09:00,공주,0.3011487
4,01-14 10:00,공주,0.3003582
4,01-14 11:00,공주,0.25568795
4,01-14 12:00,공주,0.2594859
4,01-14 13:00,공주,0.22544754
4,01-14 14:00,공주,0.20719445
4,01-14 15:00,공주,0.18047462
4,01-14 16:00,공주,0.16635853
4,01-14 17:00,공주,0.15896687
4,01-14 18:00,공주,0.15805788
4,01-14 19:00,공주,0.17648935
4,01-14 20:00,공주,0.19974786
4,01-14 21:00,공주,0.22902393
4,01-14 22:00,공주,0.25003952
4,01-14 23:00,공주,0.24380101
4,01-15 00:00,공주,0.23962104
4,01-15 01:00,공주,0.23417155
4,01-15 02:00,공주,0.21474433
4,01-15 03:00,공주,0.21134686
4,01-15 04:00,공주,0.20402536
4,01-15 05:00,공주,0.20899697
4,01-15 06:00,공주,0.21468088
4,01-15 07:00,공주,0.21826254
4,01-15 08:00,공주,0.22601816
4,01-15 09:00,공주,0.23554617
4,01-15 10:00,공주,0.2254086
4,01-15 11:00,공주,0.22250468
4,01-15 12:00,공주,0.2060544
4,01-15 13:00,공주,0.17380579
4,01-15 14:00,공주,0.15690526
4,01-15 15:00,공주,0.13277854
4,01-15 16:00,공주,0.10761388
4,01-15 17:00,공주,0.111831576
4,01-15 18:00,공주,0.13730882
4,01-15 19:00,공주,0.1583986
4,01-15 20:00,공주,0.18108982
4,01-15 21:00,공주,0.19936606
4,01-15 22:00,공주,0.21490467
4,01-15 23:00,공주,0.22456756
4,01-18 00:00,공주,0.21639246
4,01-18 01:00,공주,0.21660739
4,01-18 02:00,공주,0.21676907
4,01-18 03:00,공주,0.22016436
4,01-18 04:00,공주,0.23128128
4,01-18 05:00,공주,0.23538414
4,01-18 06:00,공주,0.25284162
4,01-18 07:00,공주,0.25435326
4,01-18 08:00,공주,0.25799334
4,01-18 09:00,공주,0.24834004
4,01-18 10:00,공주,0.23155436
4,01-18 11:00,공주,0.20369059
4,01-18 12:00,공주,0.18642107
4,01-18 13:00,공주,0.17003992
4,01-18 14:00,공주,0.15788412
4,01-18 15:00,공주,0.14655507
4,01-18 16:00,공주,0.14791137
4,01-18 17:00,공주,0.15846947
4,01-18 18:00,공주,0.16686171
4,01-18 19:00,공주,0.17326671
4,01-18 20:00,공주,0.18588899
4,01-18 21:00,공주,0.19402143
4,01-18 22:00,공주,0.19380112
4,01-18 23:00,공주,0.19602713
4,01-19 00:00,공주,0.19946991
4,01-19 01:00,공주,0.20565546
4,01-19 02:00,공주,0.2139592
4,01-19 03:00,공주,0.21093957
4,01-19 04:00,공주,0.20726857
4,01-19 05:00,공주,0.21319528
4,01-19 06:00,공주,0.21844321
4,01-19 07:00,공주,0.22118942
4,01-19 08:00,공주,0.21842611
4,01-19 09:00,공주,0.21729873
4,01-19 10:00,공주,0.20626608
4,01-19 11:00,공주,0.17857099
4,01-19 12:00,공주,0.16891867
4,01-19 13:00,공주,0.15195978
4,01-19 14:00,공주,0.14605491
4,01-19 15:00,공주,0.13631773
4,01-19 16:00,공주,0.13930821
4,01-19 17:00,공주,0.14359932
4,01-19 18:00,공주,0.15101492
4,01-19 19:00,공주,0.16201887
4,01-19 20:00,공주,0.17804956
4,01-19 21:00,공주,0.18897805
4,01-19 22:00,공주,0.19322667
4,01-19 23:00,공주,0.19902523
4,01-20 00:00,공주,0.19735186
4,01-20 01:00,공주,0.20194307
4,01-20 02:00,공주,0.1982902
4,01-20 03:00,공주,0.20598444
4,01-20 04:00,공주,0.20509988
4,01-20 05:00,공주,0.2076186
4,01-20 06:00,공주,0.21070085
4,01-20 07:00,공주,0.20919408
4,01-20 08:00,공주,0.19356352
4,01-20 09:00,공주,0.18696466
4,01-20 10:00,공주,0.16692692
4,01-20 11:00,공주,0.15079439
4,01-20 12:00,공주,0.13269319
4,01-20 13:00,공주,0.11690691
4,01-20 14:00,공주,0.10800917
4,01-20 15:00,공주,0.099971496
4,01-20 16:00,공주,0.10140672
4,01-20 17:00,공주,0.109043084
4,01-20 18:00,공주,0.115536496
4,01-20 19:00,공주,0.12839815
4,01-20 20:00,공주,0.13998762
4,01-20 21:00,공주,0.14241599
4,01-20 22:00,공주,0.15552399
4,01-20 23:00,공주,0.15372758
4,01-23 00:00,공주,0.16431741
4,01-23 01:00,공주,0.16921785
4,01-23 02:00,공주,0.16730416
4,01-23 03:00,공주,0.15865359
4,01-23 04:00,공주,0.1549045
4,01-23 05:00,공주,0.15097694
4,01-23 06:00,공주,0.1499524
4,01-23 07:00,공주,0.15684578
4,01-23 08:00,공주,0.16298601
4,01-23 09:00,공주,0.16523516
4,01-23 10:00,공주,0.16593802
4,01-23 11:00,공주,0.16781308
4,01-23 12:00,공주,0.17650065
4,01-23 13:00,공주,0.17838499
4,01-23 14:00,공주,0.17529374
4,01-23 15:00,공주,0.16253527
4,01-23 16:00,공주,0.15753148
4,01-23 17:00,공주,0.15484688
4,01-23 18:00,공주,0.14742643
4,01-23 19:00,공주,0.15000889
4,01-23 20:00,공주,0.15197593
4,01-23 21:00,공주,0.15882611
4,01-23 22:00,공주,0.15884572
4,01-23 23:00,공주,0.16803658
4,01-24 00:00,공주,0.18520555
4,01-24 01:00,공주,0.18950433
4,01-24 02:00,공주,0.18811324
4,01-24 03:00,공주,0.17690101
4,01-24 04:00,공주,0.16533177
4,01-24 05:00,공주,0.16141075
4,01-24 06:00,공주,0.15354814
4,01-24 07:00,공주,0.14862859
4,01-24 08:00,공주,0.14738345
4,01-24 09:00,공주,0.15897939
4,01-24 10:00,공주,0.16266903
4,01-24 11:00,공주,0.16071105
4,01-24 12:00,공주,0.16906443
4,01-24 13:00,공주,0.16493091
4,01-24 14:00,공주,0.16707423
4,01-24 15:00,공주,0.16811158
4,01-24 16:00,공주,0.15831405
4,01-24 17:00,공주,0.15418695
4,01-24 18:00,공주,0.15711984
4,01-24 19:00,공주,0.16017748
4,01-24 20:00,공주,0.1709342
4,01-24 21:00,공주,0.17851466
4,01-24 22:00,공주,0.18196374
4,01-24 23:00,공주,0.19702584
4,01-25 00:00,공주,0.2025089
4,01-25 01:00,공주,0.19892526
4,01-25 02:00,공주,0.19792119
4,01-25 03:00,공주,0.19183515
4,01-25 04:00,공주,0.18178138
4,01-25 05:00,공주,0.17310643
4,01-25 06:00,공주,0.16180727
4,01-25 07:00,공주,0.15898913
4,01-25 08:00,공주,0.15396982
4,01-25 09:00,공주,0.14878032
4,01-25 10:00,공주,0.14661628
4,01-25 11:00,공주,0.15259677
4,01-25 12:00,공주,0.14935884
4,01-25 13:00,공주,0.14522655
4,01-25 14:00,공주,0.13920483
4,01-25 15:00,공주,0.14107767
4,01-25 16:00,공주,0.13129446
4,01-25 17:00,공주,0.12473999
4,01-25 18:00,공주,0.12356555
4,01-25 19:00,공주,0.12675169
4,01-25 20:00,공주,0.1332003
4,01-25 21:00,공주,0.13447511
4,01-25 22:00,공주,0.14431879
4,01-25 23:00,공주,0.14995056
4,01-28 00:00,공주,0.15195853
4,01-28 01:00,공주,0.1556296
4,01-28 02:00,공주,0.16107953
4,01-28 03:00,공주,0.17378704
4,01-28 04:00,공주,0.1865962
4,01-28 05:00,공주,0.1977359
4,01-28 06:00,공주,0.215713
4,01-28 07:00,공주,0.21970779
4,01-28 08:00,공주,0.22398376
4,01-28 09:00,공주,0.22099465
4,01-28 10:00,공주,0.20772061
4,01-28 11:00,공주,0.19065171
4,01-28 12:00,공주,0.17254704
4,01-28 13:00,공주,0.15331635
4,01-28 14:00,공주,0.14332707
4,01-28 15:00,공주,0.14006557
4,01-28 16:00,공주,0.14553273
4,01-28 17:00,공주,0.15352741
4,01-28 18:00,공주,0.16181195
4,01-28 19:00,공주,0.16060767
4,01-28 20:00,공주,0.16370016
4,01-28 21:00,공주,0.16529897
4,01-28 22:00,공주,0.1570016
4,01-28 23:00,공주,0.15583397
4,01-29 00:00,공주,0.15213417
4,01-29 01:00,공주,0.15123911
4,01-29 02:00,공주,0.15535952
4,01-29 03:00,공주,0.15940115
4,01-29 04:00,공주,0.16569
4,01-29 05:00,공주,0.1712972
4,01-29 06:00,공주,0.18722807
4,01-29 07:00,공주,0.18756229
4,01-29 08:00,공주,0.1879569
4,01-29 09:00,공주,0.18728128
4,01-29 10:00,공주,0.17454635
4,01-29 11:00,공주,0.16379008
4,01-29 12:00,공주,0.1498979
4,01-29 13:00,공주,0.1391592
4,01-29 14:00,공주,0.13646132
4,01-29 15:00,공주,0.12973481
4,01-29 16:00,공주,0.13275933
4,01-29 17:00,공주,0.14300784
4,01-29 18:00,공주,0.14535594
4,01-29 19:00,공주,0.14939778
4,01-29 20:00,공주,0.14890584
4,01-29 21:00,공주,0.1484659
4,01-29 22:00,공주,0.14656715
4,01-29 23:00,공주,0.1386581
4,01-30 00:00,공주,0.1332713
4,01-30 01:00,공주,0.13651267
4,01-30 02:00,공주,0.13460888
4,01-30 03:00,공주,0.1422086
4,01-30 04:00,공주,0.15221384
4,01-30 05:00,공주,0.15931818
4,01-30 06:00,공주,0.16815981
4,01-30 07:00,공주,0.16936105
4,01-30 08:00,공주,0.16961192
4,01-30 09:00,공주,0.16830963
4,01-30 10:00,공주,0.1574117
4,01-30 11:00,공주,0.14731064
4,01-30 12:00,공주,0.13581218
4,01-30 13:00,공주,0.12606911
4,01-30 14:00,공주,0.12492877
4,01-30 15:00,공주,0.12124389
4,01-30 16:00,공주,0.12780762
4,01-30 17:00,공주,0.13235614
4,01-30 18:00,공주,0.13679904
4,01-30 19:00,공주,0.1401391
4,01-30 20:00,공주,0.14889333
4,01-30 21:00,공주,0.14317924
4,01-30 22:00,공주,0.14596264
4,01-30 23:00,공주,0.14257948
4,02-02 00:00,공주,0.7892851
4,02-02 01:00,공주,0.77467823
4,02-02 02:00,공주,0.7608487
4,02-02 03:00,공주,0.7564223
4,02-02 04:00,공주,0.75802803
4,02-02 05:00,공주,0.7726736
4,02-02 06:00,공주,0.8075117
4,02-02 07:00,공주,0.8139707
4,02-02 08:00,공주,0.8436421
4,02-02 09:00,공주,0.8304728
4,02-02 10:00,공주,0.7829441
4,02-02 11:00,공주,0.7166607
4,02-02 12:00,공주,0.65027285
4,02-02 13:00,공주,0.5589732
4,02-02 14:00,공주,0.49493676
4,02-02 15:00,공주,0.42371738
4,02-02 16:00,공주,0.39441907
4,02-02 17:00,공주,0.39882067
4,02-02 18:00,공주,0.42120406
4,02-02 19:00,공주,0.44251418
4,02-02 20:00,공주,0.45390266
4,02-02 21:00,공주,0.4820835
4,02-02 22:00,공주,0.47845668
4,02-02 23:00,공주,0.45847684
4,02-03 00:00,공주,0.44364163
4,02-03 01:00,공주,0.4424734
4,02-03 02:00,공주,0.42681772
4,02-03 03:00,공주,0.42636654
4,02-03 04:00,공주,0.40292695
4,02-03 05:00,공주,0.43916908
4,02-03 06:00,공주,0.4609004
4,02-03 07:00,공주,0.47628725
4,02-03 08:00,공주,0.49147186
4,02-03 09:00,공주,0.49597394
4,02-03 10:00,공주,0.47399864
4,02-03 11:00,공주,0.400493
4,02-03 12:00,공주,0.37180567
4,02-03 13:00,공주,0.30270636
4,02-03 14:00,공주,0.2648021
4,02-03 15:00,공주,0.21922803
4,02-03 16:00,공주,0.20942265
4,02-03 17:00,공주,0.20573372
4,02-03 18:00,공주,0.22056216
4,02-03 19:00,공주,0.2465829
4,02-03 20:00,공주,0.2734922
4,02-03 21:00,공주,0.31746992
4,02-03 22:00,공주,0.31907177
4,02-03 23:00,공주,0.31641322
4,02-04 00:00,공주,0.29326823
4,02-04 01:00,공주,0.28564572
4,02-04 02:00,공주,0.2676937
4,02-04 03:00,공주,0.2659799
4,02-04 04:00,공주,0.27498075
4,02-04 05:00,공주,0.28370392
4,02-04 06:00,공주,0.30759472
4,02-04 07:00,공주,0.32148662
4,02-04 08:00,공주,0.32317933
4,02-04 09:00,공주,0.33283377
4,02-04 10:00,공주,0.3072651
4,02-04 11:00,공주,0.28106314
4,02-04 12:00,공주,0.23767737
4,02-04 13:00,공주,0.18356082
4,02-04 14:00,공주,0.15087916
4,02-04 15:00,공주,0.110177614
4,02-04 16:00,공주,0.10241251
4,02-04 17:00,공주,0.11958259
4,02-04 18:00,공주,0.15258226
4,02-04 19:00,공주,0.18183513
4,02-04 20:00,공주,0.21707027
4,02-04 21:00,공주,0.22460875
4,02-04 22:00,공주,0.24679759
4,02-04 23:00,공주,0.24561289
4,02-07 00:00,공주,0.28437194
4,02-07 01:00,공주,0.2882235
4,02-07 02:00,공주,0.2901109
4,02-07 03:00,공주,0.30129644
4,02-07 04:00,공주,0.30958635
4,02-07 05:00,공주,0.31924117
4,02-07 06:00,공주,0.3259952
4,02-07 07:00,공주,0.3309979
4,02-07 08:00,공주,0.3373139
4,02-07 09:00,공주,0.32454592
4,02-07 10:00,공주,0.3072811
4,02-07 11:00,공주,0.28921637
4,02-07 12:00,공주,0.27915955
4,02-07 13:00,공주,0.25556266
4,02-07 14:00,공주,0.24301788
4,02-07 15:00,공주,0.22640054
4,02-07 16:00,공주,0.22111538
4,02-07 17:00,공주,0.22920719
4,02-07 18:00,공주,0.23610824
4,02-07 19:00,공주,0.24173039
4,02-07 20:00,공주,0.24344781
4,02-07 21:00,공주,0.2466475
4,02-07 22:00,공주,0.24230956
4,02-07 23:00,공주,0.23235661
4,02-08 00:00,공주,0.23165289
4,02-08 01:00,공주,0.2355392
4,02-08 02:00,공주,0.23520769
4,02-08 03:00,공주,0.23713285
4,02-08 04:00,공주,0.23218125
4,02-08 05:00,공주,0.24105662
4,02-08 06:00,공주,0.2450158
4,02-08 07:00,공주,0.24343841
4,02-08 08:00,공주,0.2428933
4,02-08 09:00,공주,0.23807041
4,02-08 10:00,공주,0.22829422
4,02-08 11:00,공주,0.2110779
4,02-08 12:00,공주,0.20247117
4,02-08 13:00,공주,0.18918976
4,02-08 14:00,공주,0.18265003
4,02-08 15:00,공주,0.1744438
4,02-08 16:00,공주,0.17432195
4,02-08 17:00,공주,0.17274989
4,02-08 18:00,공주,0.17930931
4,02-08 19:00,공주,0.18245044
4,02-08 20:00,공주,0.18684733
4,02-08 21:00,공주,0.19859844
4,02-08 22:00,공주,0.19271263
4,02-08 23:00,공주,0.19349462
