연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.12399424
4,01-03 01:00,공주,0.12727533
4,01-03 02:00,공주,0.12827958
4,01-03 03:00,공주,0.13207062
4,01-03 04:00,공주,0.13886309
4,01-03 05:00,공주,0.13861585
4,01-03 06:00,공주,0.14638291
4,01-03 07:00,공주,0.14731824
4,01-03 08:00,공주,0.1501802
4,01-03 09:00,공주,0.14921777
4,01-03 10:00,공주,0.14444886
4,01-03 11:00,공주,0.13065796
4,01-03 12:00,공주,0.120692365
4,01-03 13:00,공주,0.11640374
4,01-03 14:00,공주,0.114546925
4,01-03 15:00,공주,0.11165206
4,01-03 16:00,공주,0.10879059
4,01-03 17:00,공주,0.11610791
4,01-03 18:00,공주,0.109479874
4,01-03 19:00,공주,0.11795083
4,01-03 20:00,공주,0.12634063
4,01-03 21:00,공주,0.13021663
4,01-03 22:00,공주,0.13600692
4,01-03 23:00,공주,0.13626093
4,01-04 00:00,공주,0.13743342
4,01-04 01:00,공주,0.14520496
4,01-04 02:00,공주,0.14955187
4,01-04 03:00,공주,0.15809692
4,01-04 04:00,공주,0.14688288
4,01-04 05:00,공주,0.16012025
4,01-04 06:00,공주,0.16544002
4,01-04 07:00,공주,0.16652316
4,01-04 08:00,공주,0.16260298
4,01-04 09:00,공주,0.15584183
4,01-04 10:00,공주,0.15738866
4,01-04 11:00,공주,0.14782459
4,01-04 12:00,공주,0.13821982
4,01-04 13:00,공주,0.125408
4,01-04 14:00,공주,0.12839623
4,01-04 15:00,공주,0.12688597
4,01-04 16:00,공주,0.118761465
4,01-04 17:00,공주,0.112240806
4,01-04 18:00,공주,0.117740355
4,01-04 19:00,공주,0.12021899
4,01-04 20:00,공주,0.12754291
4,01-04 21:00,공주,0.13591044
4,01-04 22:00,공주,0.14245854
4,01-04 23:00,공주,0.14511435
4,01-05 00:00,공주,0.14408281
4,01-05 01:00,공주,0.14551713
4,01-05 02:00,공주,0.15300293
4,01-05 03:00,공주,0.15615268
4,01-05 04:00,공주,0.16440982
4,01-05 05:00,공주,0.16242433
4,01-05 06:00,공주,0.17307249
4,01-05 07:00,공주,0.17091279
4,01-05 08:00,공주,0.1663459
4,01-05 09:00,공주,0.1619026
4,01-05 10:00,공주,0.15924877
4,01-05 11:00,공주,0.1522769
4,01-05 12:00,공주,0.15004413
4,01-05 13:00,공주,0.13698451
4,01-05 14:00,공주,0.13043219
4,01-05 15:00,공주,0.1274113
4,01-05 16:00,공주,0.119594745
4,01-05 17:00,공주,0.11758279
4,01-05 18:00,공주,0.1241427
4,01-05 19:00,공주,0.12997651
4,01-05 20:00,공주,0.12857112
4,01-05 21:00,공주,0.1376564
4,01-05 22:00,공주,0.13604394
4,01-05 23:00,공주,0.13244498
4,01-08 00:00,공주,0.20053077
4,01-08 01:00,공주,0.20084003
4,01-08 02:00,공주,0.20885572
4,01-08 03:00,공주,0.21219978
4,01-08 04:00,공주,0.21870656
4,01-08 05:00,공주,0.22154394
4,01-08 06:00,공주,0.22797653
4,01-08 07:00,공주,0.22799845
4,01-08 08:00,공주,0.23149706
4,01-08 09:00,공주,0.23191512
4,01-08 10:00,공주,0.22465165
4,01-08 11:00,공주,0.21376584
4,01-08 12:00,공주,0.21054003
4,01-08 13:00,공주,0.20005678
4,01-08 14:00,공주,0.18759923
4,01-08 15:00,공주,0.18396348
4,01-08 16:00,공주,0.17404912
4,01-08 17:00,공주,0.17324045
4,01-08 18:00,공주,0.17197078
4,01-08 19:00,공주,0.1721969
4,01-08 20:00,공주,0.17779689
4,01-08 21:00,공주,0.18130808
4,01-08 22:00,공주,0.17686558
4,01-08 23:00,공주,0.18204781
4,01-09 00:00,공주,0.18632059
4,01-09 01:00,공주,0.1891384
4,01-09 02:00,공주,0.18871662
4,01-09 03:00,공주,0.19353127
4,01-09 04:00,공주,0.19693802
4,01-09 05:00,공주,0.1951327
4,01-09 06:00,공주,0.20493494
4,01-09 07:00,공주,0.20494798
4,01-09 08:00,공주,0.20399636
4,01-09 09:00,공주,0.2011556
4,01-09 10:00,공주,0.20274724
4,01-09 11:00,공주,0.19344689
4,01-09 12:00,공주,0.18425356
4,01-09 13:00,공주,0.17355272
4,01-09 14:00,공주,0.16831855
4,01-09 15:00,공주,0.15843523
4,01-09 16:00,공주,0.14889142
4,01-09 17:00,공주,0.14913118
4,01-09 18:00,공주,0.14831603
4,01-09 19:00,공주,0.14551942
4,01-09 20:00,공주,0.1564244
4,01-09 21:00,공주,0.1525831
4,01-09 22:00,공주,0.1598496
4,01-09 23:00,공주,0.1658651
4,01-10 00:00,공주,0.16776434
4,01-10 01:00,공주,0.16674069
4,01-10 02:00,공주,0.17115492
4,01-10 03:00,공주,0.17886084
4,01-10 04:00,공주,0.18452987
4,01-10 05:00,공주,0.18218517
4,01-10 06:00,공주,0.18555579
4,01-10 07:00,공주,0.19161123
4,01-10 08:00,공주,0.18980563
4,01-10 09:00,공주,0.18638606
4,01-10 10:00,공주,0.18440714
4,01-10 11:00,공주,0.18205616
4,01-10 12:00,공주,0.17296186
4,01-10 13:00,공주,0.1699938
4,01-10 14:00,공주,0.15699762
4,01-10 15:00,공주,0.15916252
4,01-10 16:00,공주,0.15186612
4,01-10 17:00,공주,0.1458446
4,01-10 18:00,공주,0.14585277
4,01-10 19:00,공주,0.14730948
4,01-10 20:00,공주,0.14973539
4,01-10 21:00,공주,0.1549862
4,01-10 22:00,공주,0.15454909
4,01-10 23:00,공주,0.15735199
4,01-13 00:00,공주,0.57668144
4,01-13 01:00,공주,0.5718884
4,01-13 02:00,공주,0.5752122
4,01-13 03:00,공주,0.5792238
4,01-13 04:00,공주,0.5790309
4,01-13 05:00,공주,0.5779189
4,01-13 06:00,공주,0.57252365
4,01-13 07:00,공주,0.5790279
4,01-13 08:00,공주,0.5697785
4,01-13 09:00,공주,0.559237
4,01-13 10:00,공주,0.55402076
4,01-13 11:00,공주,0.5192458
4,01-13 12:00,공주,0.50660414
4,01-13 13:00,공주,0.4897922
4,01-13 14:00,공주,0.4765991
4,01-13 15:00,공주,0.45070553
4,01-13 16:00,공주,0.44553894
4,01-13 17:00,공주,0.45978653
4,01-13 18:00,공주,0.45929933
4,01-13 19:00,공주,0.46088246
4,01-13 20:00,공주,0.4811171
4,01-13 21:00,공주,0.48440486
4,01-13 22:00,공주,0.49607116
4,01-13 23:00,공주,0.49979365
4,01-14 00:00,공주,0.5005636
4,01-14 01:00,공주,0.5039673
4,01-14 02:00,공주,0.50784063
4,01-14 03:00,공주,0.50962
4,01-14 04:00,공주,0.49631402
4,01-14 05:00,공주,0.49984974
4,01-14 06:00,공주,0.51245177
4,01-14 07:00,공주,0.50826955
4,01-14 08:00,공주,0.49585792
4,01-14 09:00,공주,0.5000232
4,01-14 10:00,공주,0.49007025
4,01-14 11:00,공주,0.46825004
4,01-14 12:00,공주,0.46501708
4,01-14 13:00,공주,0.43435794
4,01-14 14:00,공주,0.4303326
